risk_id,country,iso3,risk_title,crisis_id,geographic_level,risk_type,date_entered,last_risk_update,published,publication_link,rationale,trigger,exposure,intensity,vulnerability,impact,probability,risk_level,status,_internal_filter_date
R0001,['Syria'],['SYR'],"A full-scale offensive on northwestern Syria leads to the displacement of millions, a high number of civilian casualties, and severe humanitarian needs.",['SYR001'],Subnational,New emerging risk,2019-06-01,2024-06-13T13:53:48.000Z,2019-06-01,https://www.acaps.org/sites/acaps/files/products/files/acaps_crisisinsight_quarterly_risk_analysis_june_2019.pdf,"An offensive on opposition-held northwest Syria is expected, following conflict escalation between the Government of Syria, Russia, Turkey and Turkey supported-opposition forces. Syria and Russia want to take control over the M4 highway, as it would improve transportation between different areas and has important strategic value. While, turkey is interested in remaining Kurdish areas and consider it a national threat. The end of 2020 has saw an increased tension in northern Syria. 
In 2022, civilians in northern Syria face another year of confrontation between the Syrian government and other authorities and conflict actors and land exchange. Sporadic several attacks are expected. 
Any new offensive will trigger further new/protracted displacement. Several humanitarian actors are currently operating from Idleb or remotely, but an offensive will drastically impact access and reduce operations. The humanitarian needs are expected to increase in term of numbers and severity. 
","Further advancement and increased Government of Syria/ Russia/Turkey deployments.
Turkey renewed its threats of new offensive. 
Major Russian-backed Government of Syria offensive.
Turkey increased support to opposition.

The most forthcoming offensive in northwest Syria is on segments of the M4 highway, with diplomatic coordination/Land exchange between Russia and Turkey.
",">500,000",5,"Preexisting vulnerabilities and exhausted coping capacities following eleven years of war in Syria would exacerbate the humanitarian situation. Humanitarian needs and severity are already widespread. The pre-existing vulnerabilities including: 
1) Security risks, ISIS pocket, and socio-political and economic challenges, 
2) Divisions between NWS, NWS and overall Syria,
3) Presence of multiple armed groups and militias, backed by different groups,
4) Water scarcity,
5) Temperatures and extreme weather events,
6) Resource-constrained communities, 
7) Protracted displacement, 
8) Hosting refugees, 
9) COVID-19 

Not everyone with the same characteristics will experience the same level of vulnerability. Women in general, including Female-headed households, including war widows, and pregnant and lactating women; Adolescent girls at risk of early or forced marriage; Unaccompanied and separated children; Children engaging in child labour or recruited by parties to conflict; Tensions between displaced and host communities; People without documentation, Rural vs Urban, 
",5,Low,Medium,Not materialised,2024-06-13
R0009,"['Iran', 'United States', 'Yemen', 'Iraq', 'Syria', 'Afghanistan']","['IRN', 'USA', 'YEM', 'IRQ', 'SYR', 'AFG']","Heightened tensions between Iran and the US and their allies spark conflict between regional proxies in the Middle East, leading to new humanitarian needs in the region.","['YEM001', 'SYR001', 'IRQ002']",Regional,New emerging risk,2019-06-01,2024-06-13T13:53:51.000Z,2019-06-01,https://www.acaps.org/sites/acaps/files/products/files/acaps_crisisinsight_quarterly_risk_analysis_june_2019.pdf,"A series of events have raised fears of an escalation of proxy conflict between the US, Iran and their allies in the Middle East. Countries particularly at risk of being affected are Iraq and Yemen as well as, to a smaller extent, Syria, Lebanon, Afghanistan and Iran itself. Attacks on oil tankers in the Gulf in recent weeks have provoked threatening rhetoric between the US and Iran. The US blamed the incidents on Iran and deployed 2,500 troops, an aircraft carrier and bomber planes to the Middle East to counter “Iranian threats”. The US also recently tightened economic sanctions on Iran and labelled the Islamic Revolutionary Guard Corps (IRGC), Iran’s elite military force, as a “foreign terrorist organisation” (BBC 08/04/2019). Iran denied involvement in the attacks but stated it will retaliate against aggression towards its interests. The Special Forces unit of the IRGC reportedly called on allied militias to prepare for a proxy conflict. Relations between Iran and the US have deteriorated significantly over the last year since the Trump administration withdrew from a nuclear deal between Iran and seven world powers, including the US and EU. Iran recently stopped complying with parts of the nuclear agreement in attempt to bargain European support against the sanctions, fueling existing tensions.  

Neither country is interested in direct military confrontation. The US may be increasing economic and military pressure against Iran and leverage a new nuclear agreement, more aligned to its own terms. However, lack of diplomacy amid heightened tensions may result in a miscalculation possibly leading to an accidental escalation of conflict. Conflict would most likely remain small-scale and concentrated in areas with a large presence of Iranian proxies. Iraq and Yemen are the most vulnerable to an escalation. In Iraq, the US and Iran have been vying for influence following the defeat of the Islamic State. Iraq has a large presence of Iran-backed Shia militias and the US has some 5,000 troops stationed in the country, raising the risk of a local confrontation. Regional actors are often trying to frame Yemen’s conflict, which is predominantly based on local grievances, as part of the broader Saudi-Iranian rivalry. A recent upsurge in attacks from the Iran-backed Houthis on targets in Saudi Arabia and United Arab Emirates have raised tensions between Iran and Saudi Arabia, increasing the risk of retaliatory attacks and escalation in Yemen.","Increased a conflict between US forces and Iranian proxies in Iraq, Syria, Yemen",">500,000",3,"Preexisting vulnerabilities and climatic shocks have exacerbated the humanitarian situation in Iran. Humanitarian needs are not life-threatening and can be met without having to adopt negative or irreversible coping strategies. However, the situation is different between different areas and refugees are more vulnerable sur to their statelessness. 
1)	Ethnic cleavages persist in Iran
2)	Authoritarianism of the regime
3)	Iranian nuclear installations
4)	Economic pressure and sanctions
5)	Blockade of Iranian oil exports
6)	Involvement in other countries and by proxy wars
7)	Natural shocks as earthquake
8)	Hosting high number of Afghan refugees. 
",2,Low,Medium,Not materialised,2024-06-13
R0011,['Bosnia and Herzegovina'],['BIH'],"The arrival of 50,000 migrants, refugees, and asylum seekers with humanitarian needs in Bosnia and Herzegovina stretches response capacity",['BIH002'],National,Marked deterioration in an existing crisis,2019-03-01,2024-06-13T13:53:51.000Z,2019-03-01,https://www.acaps.org/sites/acaps/files/products/files/quarterly_risk_analysis_march_2019_final.pdf,"24,000 migrants and refugees registered entry into Bosnia and Herzegovina (BiH) in 2018, compared to 755 in 2017. An estimated 5,500 of these people remain in the country, many in accommodation centres in Una-Sana Canton in the northwest, where they attempt to cross the Croatian border into the EU. Tightened Croatian border controls since May 2018 have reduced the number of successful crossings, prolonging the stay of irregular migrants and refugees in BiH. Although the number of monthly arrivals to BiH has decreased during the winter months, a spike in arrivals is expected in the spring as weather and travel conditions improve, with overall arrival numbers projected to double in 2019. In January 2019, 732 arrivals were recorded, a rise compared to January 2018 (237 arrivals) and January 2017 (77 arrivals), indicating a significant chance of increased arrivals in the first half of 2019. These numbers likely underestimate the real situation, as people are smuggled in and uncounted.

Shelter will be a critical need, as existing accommodation facilities, mainly ad-hoc migrant centres, are already at or beyond full capacity and living and sanitary conditions are poor. Protection is a concern, as inadequate shelter conditions and overcrowding are likely to aggravate existing tensions among migrant and refugee groups of different nationalities and ethnicities, leading to conflicts and protection risks. Fair and efficient access to asylum in BiH will likely be a challenge given the limited capacity of BiH authorities. A rise in violent pushbacks from the Croatian border is likely and will result in further protection and health concerns, such as the denial of access to asylum and injuries. An estimated 50–100 people were pushed back weekly in the second half of 2018, 70% of whom claimed to be beaten by Croatian authorities. An increase in violent pushbacks will worsen tensions between migrants and refugees on one side and authorities on the other.
",- Improvement of weather and travel conditions,"20,000-100,000",,"Migrants, refugees, and asylum seekers are highly vulnerable as they do not have the means to cope with the impact of the crisis and are dependent on humanitarian assistance for shelter, WASH, and food in the host country. ",1,Very Low,Low,Not materialised,2024-06-13
R0013,['Libya'],['LBY'],Increasing violence and consequent displacement in northern Libya result in deteriorated food security,['LBY001'],Subnational,Marked deterioration in an existing crisis,2019-03-01,2024-06-13T13:53:51.000Z,2019-03-01,https://www.acaps.org/sites/acaps/files/products/files/quarterly_risk_analysis_march_2019_final.pdf,"Recent developments in Libya have raised the risk of conflict escalation in the northwest. Following the very recent offensive into the oil-rich southern region, the Libyan National Army (LNA) have gained control of the majority of Libyan territory, strengthening the political and economic position of its commander, Khalifa Haftar. Some LNA units have moved into central Libya and towards Sirte province in the north, possibly indicating an advance to the northwest and Tripoli in particular. Tripoli, currently under the control of the opposing UN-backed Government, is strongly divided and home to different armed groups with fluid alliances. Although Haftar has not announced a move towards the capital, the LNA has repeatedly threatened to march onto Tripoli. Tensions have increased, and local forces opposing the LNA are mobilising. Despite the show of force, the LNA struggles with internal divide and stretched resources and does not seem ready to invade Tripoli; Haftar is likely using his soft power to leverage his role in a new Libyan government ahead of elections. That said, the situation in Libya is extremely volatile, and strategies change quickly. LNA-opposing groups would meet any attempt to seize the capital with violent resistance.

An escalation of conflict between the LNA and LNA-allied forces on one side and the opposing Tripoli-based forces would have a severe humanitarian impact. The northwestern region is densely populated compared to the rest of the country, and the security situation across Libya has severely hampered humanitarian access. Tripoli alone has 940,653 inhabitants. Direct conflict would lead to large-scale displacement and heightened humanitarian needs, including shelter needs and protection against torture and extrajudicial killings, which commonly occur in conflict-affected areas. The conflict has also damaged some health infrastructure, and at least a partial suspension of health services is expected if there is further violence.
","- Increasing violence
- Increasing displacement movement
- Disruption to agricultural activities
- Increase in humanitarian access restrictions
",">500,000",3,A lack of availability and access to services and high access constraints for humanitarian organisations limit the capacity to respond to the expected increase in needs.  ,5,High,High,Not materialised,2024-06-13
R0028,['Syria'],['SYR'],The closure of the al Yaorubia crossing worsen humanitarian needs.,['SYR001'],Subnational,New emerging risk,2020-01-16,2024-06-13T13:53:51.000Z,,,"The humanitarian response has been significantly impacted by the Yaroubia crossing closure in January 2020 and hampered their response to COVID-19 in Northeast Syria to around 1.8 million people.  Bab Al-hawa crossing have failed to sufficiently replace the al-Yarubiyah crossing to address supply-chain limitations. Local NGOs and non UN organisations were not able to keep up with the operations, logistics and delivery of aid to the Northsast after the closure of the al Yaroubia crossing. Further humanitarian and protection risks could come from a restart to Turkish military operations in the Hasaka governorate. Funding was lost, access was impacted, and the food security, WASH, health and protection etc needs have unfulfilled. ",Closing of the Yaroubia crossing.,">500,000",4,"Preexisting vulnerabilities and exhausted coping capacities following eleven years of war in Syria would exacerbate the humanitarian situation. Humanitarian needs and severity are already widespread. The pre-existing vulnerabilities including: 
1) Security risks, ISIS pocket, and socio-political and economic challenges, 
2) Divisions between NWS, NWS and overall Syria,
3) Presence of multiple armed groups and militias, backed by different groups,
4) Water scarcity,
5) Temperatures and extreme weather events,
6) Resource-constrained communities, 
7) Protracted displacement, 
8) Hosting refugees, 
9) COVID-19 

Not everyone with the same characteristics will experience the same level of vulnerability. Women in general, including Female-headed households, including war widows, and pregnant and lactating women; Adolescent girls at risk of early or forced marriage; Unaccompanied and separated children; Children engaging in child labour or recruited by parties to conflict; Tensions between displaced and host communities; People without documentation, Rural vs Urban, 
",4,High,High,Materialised,2024-06-13
R0029,['Iraq'],['IRQ'],The selection process for the new Iraqi prime minister triggers an escalation in clashes between members and supporters of the Popular Mobilization Forces on one hand and protesters on the other,['IRQ002'],Subnational,New emerging risk,2020-02-07,2024-06-13T13:53:51.000Z,,,"Protesters fear the influence of the Popular Mobilization Forces (PMF) in the choice of a pro-PMF prime minister after the resignation of Abdul Mahdi, as they would like to see a reforming figure at the head of the country. As Sadrist forces prepare for a ""1 million men"" march, tensions and violent clashes between protesters and PMF members risk escalating in Baghdad and throughout the south.

Clashes have already been reported as the cleric withdrew its support to the antigovernment protests. Five people died and dozens were injured in Najaf as Sadrist supporters clashed with protesters during a sit-in and during confrontations in Baghdad, with Sadrist supporters taking control of a high-rise overlooking Tahrir Square previously occupied by antigovernment protesters.
",Any rhetoric that deliberately fuels violence and clashes,"100,000-250,000",3,"Humanitarian needs in Iraq are not life-threatening or widespread, but the country is suffering from pre-existing vulnerabilities, including:
- Security risks postwar and post-ISIS
- Terrorism
- Sociopolitical and economic challenges
- Internal political and ethnic tensions
- The presence of multiple armed groups and militias
- Climate-related security risks
- Extreme temperatures and weather events that put pressure on basic resources and undermine livelihood security
- Resource-constrained communities
- Protracted displacement
- Hosted refugees
- COVID-19 and related long-term consequences.

The impact and vulnerabilities are different between Federal Iraq and the Kurdistan Region of Iraq, between the displaced and non-displaced, between refugees and residents, between minorities and people affiliated with ISIS, between women and men, and among children, the youth, the elderly, and people living with disabilities.
",3,Medium,Medium,Not materialised,2024-06-13
R0030,['Iraq'],['IRQ'],Attacks by the Islamic State of Iraq and Syria (ISIS) escalate after the expulsion of anti-ISIS coalition forces.,['IRQ002'],National,New emerging risk,2020-01-16,2024-06-13T13:53:51.000Z,,,"If the Iraqi government goes through with the threat to expel foreign troops and/or if attacks from militias against foreign security personnel increase, foreign troops are likley to leave Iraq or see their capacity to operate severely limited. The number of ISIS attacks is likley to spike with consequent rising protection concerns for the local population. ","-ISIS ability to recruit more members and re-organise 
-demand of withdrawal of foreign troops of the anti-ISIS coalition following the airstrike that killed Qassim Solaimani 
-previous reduction of US troops deployed in Iraq ","<20,000",3,"Humanitarian needs are not life threatening or widespread. However, Iraq is suffering from pre-existing vulnerabilities including: 
1) Security risks post-war, post-ISIS, terrorism, socio-political and economic challenges, 
2) Internal political and ethnic tensions, 
3) Presence of multiple armed groups and militias 
4) Climate-related security risks,
5) Temperatures and extreme weather events puts pressure on basic resources and undermines livelihood security, 
6) Resource-constrained communities, 
7) Protracted displacement, 
8) Hosting refugees, 
9) COVID-19 had and will continue to have long-term consequences.
The impact and vulnerabilities are different between Federal Iraq and the Kurdistan Region of Iraq, displaced vs non-displaced, refuge vs residents, minorities and people affiliated with ISIS, and women and men, children, youth, the elderly, and people living with disabilities. 
",3,Medium,Medium,Not materialised,2024-06-13
R0031,['Lebanon'],['LBN'],A rising number of Syrian refugees opt for an unsafe return to Syria to avoid a deepening economic crisis and the repercussions of the recent Beirut explosion.,['LBN002'],National,New emerging risk,2020-01-16,2024-06-13T13:53:51.000Z,,,"Due to the depreciation of the Lebanese lira, inflation and rising prices Syrian refugees who can no longer survive on cash assistance (delivered in Lebanese liras) or  receive low to no salary from their employers in the informal sector  see their livelihoods threatened. An increasing number might opt for an unsafe return to Syria, also due to Lebanese governmental policies on return. 

The severity of people in need have worsened, however, during 2020 the voluntary refugees return to Syria was only 9,351 people which is half of the figure registered in 2019. The refugees' decision to get back to Syria is influenced mainly by the security and safety situation, economic growth, public service availability and personal relationships in their place of origin and it is less likely played by refugees poor living condition in Lebanon. Unless the situation significantly improves in Syria, refugees are unlikely to return back. ","Worsening economic condition for refugees in Lebanon 
","<20,000",3,"Preexisting vulnerabilities and exhausted coping capacities following two years of the socioeconomic crisis, stagnated government formation and solutions, hosting 1.5 million Syrians who have fled the conflict in Syria and about 180,000 Palestinian refugees, and Beirut explosion. Humanitarian needs and severity are already high and widespread. The pre-existing vulnerabilities including: 
1) Security risks, 
2) Political and ethnic tensions and presence of armed groups 
3) Resource-constrained communities, 
4) COVID-19,
5) Basic services are overstretched and or not functional,
6) Logistical and administrative constraints make challenge smooth roll out of humanitarian activities.

Not everyone with the same characteristics will experience the same level of vulnerability. Women; Adolescent girls at risk of early or forced marriage; Unaccompanied and separated children; Children engaging in child labour; Refugees without documentation; Refugees, asylum seekers, migrants and the economically vulnerable population.",3,Medium,Medium,Not materialised,2024-06-13
R0032,['Iraq'],['IRQ'],Attacks on US and foreign troops stationed in the country increase.,['IRQ002'],National,New emerging risk,2020-01-21,2024-06-13T13:53:51.000Z,,,"In spite of the recent de-escalation in the US-Iran contraposition, missiles are still targeting  the Green Zone of Baghdad, some landing close to the US embassy, others directed at ISF bases. Continued attacks against foreign troops might escalate in intensity and range in the upcoming months. It remains to be seen what the role of the newly formed ""Front of the Resistance"", uniting the main PMF factions, will be, as they aim for the removal of foreign troops from the country. Civilian casualties in future clashes and rocket attacks cannot be excluded. Protection and access are also a concern if the risks materialises. Attacks against US personnel in Iraq would continue until all American troops are removed from the country, according to Iran's former ambassador to Baghdad.

The US Department of State's Rewards for Justice program announced on Thursday that it would pay up to $3 million for information on attacks on Americans in Iraq.",Increase in geopolitical tensions,"<20,000",2,"Humanitarian needs are not life threatening or widespread. However, Iraq is suffering from pre-existing vulnerabilities including: 
1) Security risks post-war, post-ISIS, terrorism, socio-political and economic challenges, 
2) Internal political and ethnic tensions, 
3) Presence of multiple armed groups and militias 
4) Climate-related security risks,
5) Temperatures and extreme weather events puts pressure on basic resources and undermines livelihood security, 
6) Resource-constrained communities, 
7) Protracted displacement, 
8) Hosting refugees, 
9) COVID-19 had and will continue to have long-term consequences.
The impact and vulnerabilities are different between Federal Iraq and the Kurdistan Region of Iraq, displaced vs non-displaced, refuge vs residents, minorities and people affiliated with ISIS, and women and men, children, youth, the elderly, and people living with disabilities. 
",2,Medium,Medium,Materialised,2024-06-13
R0035,['Libya'],['LBY'],Hostilities between the Libya National Army and Government of National Accord in Abu Ghraib and an offensive to capture Misrata increase needs,['LBY001'],Subnational,Future impact of a hazard which has already taken place,2020-02-07,2024-06-13T13:53:51.000Z,,,"The current truce is very fragile and still has yet to be converted into a ceasefire. UNSMIL leader Ghassan Salame has denounced the multiple violations of the arms embargo on Libya in the last few weeks with the stockpiling of weaponry and military personnel in the country in areas under the control of either warring party. In such a volatile climate, renewed hostilities in and around Misrata, the second largest city of Libya and headquarters of a militia that supports the Tripoli-based Government with high warring capacity, cannot be excluded. Clashes at the end of January in the village of Abu Ghraib, located on the main road to Misrata, caused civilian victims. There is only one health centre remaining operative in a 100km radius from Abu Ghraib, raising health concerns in case of future attacks. Migrants detained in detention centres potentially in the area of Misrata are at particular risk considering the Tajourah bombing of summer 2019.",- Collapse of the truce ,"100,000-250,000",2,A lack of availability and access to services and high access constraints for humanitarian organisations limit the capacity to respond to the expected increase in needs.,3,Medium,Medium,Not materialised,2024-06-13
