,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,0.3,,,,
(a-z),,,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,Complex crisis,4.5,5,Very High,Stable,High,4.8,4.9,4.7,4.5,5,4,4.3,4,4.5,Asia,2022-08-27 00:00:00
Earthquake in Khost and Paktika,Earthquake in Khost and Paktika,AFG005,Afghanistan,AFG,Earthquake,3,3,Medium,-,High,2.8,0.9,3.5,2.8,2.6,3,3.5,4,3,Asia,2022-08-27 00:00:00
Drought in South-West Angola,Drought in South-West,AGO002,Angola,AGO,Food Security,3.3,4,High,Increasing,Very High,2.8,3.7,2.2,3.85,3.7,4,2.6,3.1,2,Africa,2022-08-31 00:00:00
Nagorno-Karabakh Conflict in Armenia,Nagorno-Karabakh Conflict in Armenia,ARM002,Armenia,ARM,Conflict,1.3,2,Low,Decreasing,High,1.8,1.3,2,0.85,0.7,1,1.5,1.9,1,Middle east,2022-08-27 00:00:00
Nagorno-Karabakh conflict in Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,AZE002,Azerbaijan,AZE,Conflict,1.8,2,Low,-,Medium,2.6,1.8,3,1,0,2,2.3,2.5,2,Middle east,2022-08-27 00:00:00
Complex in Burundi,Complex crisis ,BDI001,Burundi,BDI,Complex crisis,3.5,4,High,Stable,High,3.9,4,3.8,3.4,3.8,3,3.3,3,3.5,Africa,2022-08-02 00:00:00
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,Conflict,3.9,4,High,Stable,High,4,2.5,4.5,4.3,3.6,5,3.3,3.1,3.5,Africa,2022-04-25 00:00:00
Mutliple crises in Bangladesh,Country Level,BGD001,Bangladesh,BGD,Multiple crises country,3.4,4,High,-,Very High,2.8,2.7,2.8,3.75,4.5,3,3.2,2.8,3.5,Asia,2022-08-25 00:00:00
Rohingya refugee crisis,Rohingya Refugees,BGD002,Bangladesh,BGD,International displacement,3,3,Medium,Decreasing,High,2.7,0.2,3.5,3.3,3.6,3,2.9,2.8,3,Asia,2022-08-25 00:00:00
2022 Floods in Bangladesh,2022 floods,BGD008,Bangladesh,BGD,Flood,3.1,4,High,-,High,2.4,2.7,2.2,3.6,4.2,3,2.7,2.8,2.5,Asia,2022-08-25 00:00:00
Country level Brazil,Country level,BRA001,Brazil,BRA,Multiple crises country,2.8,3,Medium,Increasing,Very High,4.1,4.8,3.6,1.8,2.6,1,3,2.9,3,Americas,2022-08-31 00:00:00
Venezuela displacement in Brazil,Venezuelan refugees,BRA002,Brazil,BRA,International displacement,2.4,3,Medium,Stable,High,3,3.3,2.9,1.75,2.5,1,2.7,2.9,2.5,Americas,2022-08-31 00:00:00
Floods in rainy season 2022,Floods,BRA003,Brazil,BRA,Flood,2.1,3,Medium,Increasing,Very High,2.8,3,2.7,1.2,1.4,1,2.7,2.9,2.5,Americas,2022-08-31 00:00:00
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,Complex crisis,4.1,5,Very High,Decreasing,High,4.2,4.3,4.1,3.95,3.9,4,4.1,4.1,4,Africa,2022-08-01 00:00:00
Venezuela displacement in Chile,Venezuelan refugees,CHL002,Chile,CHL,International displacement,2.6,3,Medium,Increasing,Very High,3.7,4.8,2.9,2.4,2.8,2,2,1.4,2.5,Americas,2022-08-31 00:00:00
Multiple crises in Cameroon,Country level,CMR001,Cameroon,CMR,Multiple crises country,4.1,5,Very High,Decreasing,Very High,4,4.7,3.6,4.5,5,4,3.4,3.7,3,Africa,2022-07-05 00:00:00
Boko Haram in Cameroon,Boko Haram,CMR002,Cameroon,CMR,Conflict,3.5,4,High,Stable,Very High,2.9,1.4,3.5,3.75,3.5,4,3.6,3.7,3.5,Africa,2022-08-30 00:00:00
Anglophone Crisis in Cameroon,Anglophone crisis,CMR003,Cameroon,CMR,Conflict,3.4,4,High,Decreasing,Very High,3.2,2.6,3.5,3.4,3.8,3,3.4,3.7,3,Africa,2022-08-30 00:00:00
CAR refugees in Cameroon,CAR refugees,CMR004,Cameroon,CMR,International displacement,2.9,3,Medium,Decreasing,High,2.4,2.4,2.4,2.9,2.8,3,3.2,3.7,2.5,Africa,2022-08-30 00:00:00
Complex crisis in DRC,Complex crisis,COD001,DRC,COD,Complex crisis,4.2,5,Very High,Decreasing,High,4.5,5,4.2,4,5,3,4.4,4.3,4.5,Africa,2022-07-21 00:00:00
Complex crisis in Congo,Complex crisis,COG001,Congo,COG,Complex crisis,2.1,3,Medium,Decreasing,High,2.3,3.1,1.8,2,1,3,2.2,2.8,1.5,Africa,2022-08-31 00:00:00
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,Complex crisis,4,4,High,Stable,Very High,4.2,5,3.6,4.4,4.8,4,3.2,2.9,3.5,Americas,2022-08-31 00:00:00
Venezuela displacement in Colombia,Venezuelan refugees ,COL002,Colombia,COL,International displacement,3.4,4,High,Stable,Very High,3.1,2.2,3.5,3.75,4.5,3,3.2,2.9,3.5,Americas,2022-08-31 00:00:00
Nicaraguan refugees in Costa Rica,Nicaraguan refugees,CRI002,Costa Rica,CRI,International displacement,2.1,3,Medium,Increasing,High,2.4,0.7,3,2.55,2.1,3,1,0.9,1,Americas,2022-08-20 00:00:00
Multiple crises in Djibouti,Country level,DJI001,Djibouti,DJI,Multiple crises country,2.5,3,Medium,Decreasing,High,2.4,3.2,2,2.6,2.2,3,2.5,2.5,2.5,Africa,2022-08-30 00:00:00
Mixed migration in Djibouti,Mixed Migration,DJI002,Djibouti,DJI,International displacement,1.8,2,Low,Increasing,Very High,1.8,1.5,1.9,1.95,0.9,3,1.6,2.5,0.5,Africa,2022-07-26 00:00:00
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,Drought,2.6,3,Medium,Stable,High,2.7,3.2,2.35,2.55,2.1,3,2.5,2.5,2.5,Africa,2022-08-30 00:00:00
Venezuela displacement in Dominican Republic,Venezuelan refugees ,DOM002,Dominican Republic,DOM,International displacement,2.1,3,Medium,Increasing,High,3.6,4,3.3,1.85,1.7,2,1.2,1.4,1,Americas,2022-08-20 00:00:00
Mixed migration flows in Algeria,Mixed Migration,DZA002,Algeria,DZA,International displacement,2.6,3,Medium,-,Very High,3.8,5,2.8,1.7,2.4,1,2.7,2.8,2.5,Africa,2022-08-30 00:00:00
Sahrawi refugees in Algeria,Sahrawi refugees,DZA003,Algeria,DZA,International displacement,2.1,3,Medium,Decreasing,Medium,1.3,1.1,1.4,2.3,1.6,3,2.4,2.8,2,Africa,2022-08-30 00:00:00
Multiple crises in Algeria,Country level,DZA004,Algeria,DZA,Multiple crises country,2.6,3,Medium,-,High,3.8,5,2.9,1.8,2.6,1,2.7,2.8,2.5,Africa,2022-08-24 00:00:00
Venezuela displacement in Ecuador,Venezuelan refugees ,ECU002,Ecuador,ECU,International displacement,2.7,3,Medium,Increasing,Very High,3.6,4.6,2.8,2.6,3.2,2,2.1,2.2,2,Americas,2022-08-31 00:00:00
